代码,晨星专属号,名称,类型,股票总仓位,页码,备注
005402, 0P0001CAK6, 广发资源优选股票A, 行业股票 - 其它, 86.70, 953, None
002819, 0P000195CX, 招商丰美灵活配置混合A, 保守混合, 23.48, 963, None
001794, 0P0001714W, 兴银朝阳债券, 纯债, 0.00, 2849, None
005419, 0P0001D6AD, 中欧聚瑞债券A, 纯债, 0.00, 973, None
002303, 0P00017B91, 金鹰智慧生活灵活配置混合, 灵活配置, 4.96, 30, li[16]
002305, 0P000178CQ, 光大保德信风格轮动混合A, 积极配置 - 中小盘, 89.94, 40, None
000767, 0P000155DL, 华富国泰民安灵活配置混合, 灵活配置, 72.08, 983, li[16]
002837, 0P00018OT0, 华夏网购精选灵活配置混合A, 积极配置 - 大盘平衡, 93.04, 983, None
003500, 0P00018WDQ, 鑫元聚利债券, 纯债, 0.00, 1976, li[16]
001836, 0P0001AEXP, 易方达瑞祥灵活配置混合E, 保守混合, 15.12, 2929, li[16]
001319, 0P000165B4, 农银汇理信息传媒主题股票, 行业股票-科技、传媒及通讯, 80.26, 2016, None
512010, 0P0000ZD5J, 易方达沪深300医药卫生ETF, 行业股票-医药, 99.35, 2176, None
001709, 0P000176Q0, 华富物联世界灵活配置混合, 灵活配置, 83.51, 2686, None
519664, 0P00012TC3, 银河美丽优萃混合A, 积极配置 - 大盘成长, 86.02, 2716, None
